ID,Ojibwe Word,Word Class,English Translation
630,aaba'oodoon,vti2,untie s.t.; Isg indaaba'oodoon; prt ayaaba'oodood
632,aabaji',vta,use s.o.; Isg indaabaji'aa; prt ayaabaji'aad
633,aabajitoon,vti2,use s.t.; Isg indaabajitoon; prt ayaabajitood aabanaabam via turn and look back at s.o.; Isg indaabanaabamaa; prt ayaabanaabamaad
636,aabaabika'an,vti,unlock s.t.; Isg indaabaabika'aan; prt ayaabaabika'ang
637,aabaabika'igan,ni,key; pi aabaabika'iganan; loc aabaabika'iganing; dim aabaabika'igaans
638,aabaabika'igaade,vii,"be unlocked; prt ayaabaabika'igaadeg; aug aabaabika'igaademagad; prt aug ayaabaabika'igaademagak aabaabiigin ma unwind s.o. (as something string- like), unravel s.o. (as something string-like); Isg indaabaabiiginaa; pn ayaabaabiiginaad"
640,aabaakawad,vii,"revive, clear off after a storm; prt ayaabaakawak aabaakawi' via revive s.o.; Isg indaabaakawi'aa; pn ayaabaakawi'aad"
644,aabiding,pc,"once, at one time aabiji- pv4 continually"
645,aabijiibaa,vai,"revive, come alive; Isg indaabijiibaa; prt ayaabijiibaad"
648,aabiskose,vai,"come undone, unravel; pn ayaabiskosed"
650,aabiskwegin,vta,unfold s.o. (as something sheet- like); Isg indaabiskweginaa; prt ayaabiskweginaad
652,aabita,pc,half aabita- pv4 half
654,aabitawayi'ii,pc,halfway along it
657,aabita-zhooniyaans,na,nickel (coin); pi aabita- zhooniyaansag
659,aabitoobadoon,vti2,fill s.t. half full (of liquid); Isg indaabitoobadoon; prt ayaabitoobadood aabitoobazh /aabitoobaN-/ vta fill s.o. half full (of liquid); Isg indaabitoobanaa; prt ayaabitoobanaad
660,aabitoobii,vai,behalf full (of liquid) ;pn ayaabitoobiid aabitoobii tmbe half full (of liquid) j pn ayaabitoobiig; aug aabitoobiimagad; prt aug ayaabitoobiimagak
662,aabitooshkin,pc,half a bag
663,aabitooshkinadoon,vti2,fill s.t. half full; Isg indaabitooshkinadoon; prt ayaabitooshkinadood
664,aabitooshkina',vta,fill s.o. half full (of solids); Isg indaabitooshkina'aa; pn ayaabitooshkina'aad
666,aabitooshkine,vii,be half full (of solids); pn ayaabitooshkineg; aug aabitooshkinemagad; pn aug ayaabitooshkinemagak
669,aabooztkan,vti,wear s.t. inside out; Isg indaaboozikaan; pn ayaaboozikang
671,aaboozikaa,vai,turn inside out; pn ayaaboozikaad
673,aadawa'am,vta,go with s.o. in a boat; Isg indaadawa'amaa; prt ayaadawa'amaad
677,aadizookewinini,na,storyteller; pi aadizookewininiwag
681,aagawe,vai,go out of sight (as around a corner); Isg indaagawe; pn egaagawed
684,aagimose,vai,"snowshoe; Isg indaagimose; prt ayaagimosed aagonwetam vai2 deny, contradict; Isg indaagonwetmm; pn ayaagonwetang"
685,aagonwetan,vti,"deny s.t., contradict s.t., not believe s.t. said; Isg indaagonwetaan; pn ayaagonwetang"
687,aagonweyenim,vta,disbelieve s.o.; Isg indaagonweyenimaa; pn ayaagonweyenimaad
689,aajikode,vii,be notched; pn ayaajikodeg; aug aajikodemagad; pn aug ayaajikodemagak
