powhatan_word,english_translation,word_class,source,license,orthography,notes,audio_url
vdesinamun,To breake with one's fingers any thing,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
"paskeaw, vdeistahamū",To break with stryking on any thing,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
ketarowksumah,To break all in pieces,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
perew,To be broken or crackt,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
muscaussum,Bright or plaine all over,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
paaksetower,To bring into the boat,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
patow,To bring agayne,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
osawas,Brasse,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
vnetawvnnū,To bruise any thing small,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
nemat,A brother,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
vnepawahumū,A brush,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
cawmdguc,A bramble or brier,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Tshekehicawwuns,A broome,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
manaang,gwas - A butterfly,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
cutchow matowran,To burne as if a shake light on any thing,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
metucsmarakimmins,A bunch of grapes,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
